study_label,item_type,frame_tag,verbatim_quote,page,cited_work,note
Al-Fakir Al Rabab'a et al (2023),frame_use,STAKE,"According to stakeholder theory (Donaldson & Preston, 1995; Jones, 1995), when a firm effectively manages a better relationship with its key stakeholders, thereby building a better reputation, it is more likely to achieve economic success (Brammer & Millington, 2008).",3,,"stakeholder theory: relationship/reputation to economic success, own claim"
Al-Fakir Al Rabab'a et al (2023),frame_use,RISK,"firms with lower carbon performance are more vulnerable to carbon risk, making them more vulnerable to potential changes in environmental regulations and obligations. This increases the uncer­ tainty of current and future business conditions and increases firms’ financial distress risk, resulting in higher interest rates",3,,"carbon risk to regulatory change, distress risk, higher rates; own claim"
Al-Fakir Al Rabab'a et al (2023),frame_use,AGENCY,"According to agency theory, in­ formation asymmetry (to benefit shareholders at the cost of debtholders) increases agency costs which then increase capital constraints and cost of debt (COD).",4,,agency theory: information asymmetry raises agency costs and COD
Al-Fakir Al Rabab'a et al (2023),counter,,"To the extent that CCP negatively affects CFP, thereby increasing the financial distress risk, the firm’s ability to pay off debt is jeopardised (Damert et al., 2017; Wang et al., 2014). To bear this risk, lenders may demand more compensation by charging a higher interest rate.",3,,"cost-burden counter: green spending hurts CFP, raises distress, higher rate"
Al-Fakir Al Rabab'a et al (2023),mechanism_extra,,"If a lending project was unsuccessful, the lender might be subject to “the riskshifting effect”, obviously bearing most of the costs, especially if they take over mortgaged assets that have lost their market value for environment-related reasons.",3,,"risk-shifting plus collateral devaluation of mortgaged assets, lender-side"
Al-Fakir Al Rabab'a et al (2023),mechanism_extra,,"as compensation for potential reputational losses, financial institutions charge a higher interest rate to firms with a high level of carbon risk if they operate in countries with strong governance",4,,"lender reputational-loss premium, amplified under strong country governance"
Al-Fakir Al Rabab'a et al (2023),paris_policy,,"as most of these countries ratified the Kyoto Protocol, many are adopting stringent carbon-related legislation and policies with which firms must comply (Shyu, 2014). This will increase firms’ exposure to carbon risks.",2,,"Kyoto ratification drives stringent carbon policy, raises carbon-risk exposure"
Al-Fakir Al Rabab'a et al (2023),paris_policy,,"The reason is probably that Taiwan is one of the countries that has not ratified the United Nations Framework Convention on Climate Change (UNFCCC) or the Kyoto Protocol (Shyu, 2014), suggesting that firms’ exposure to carbon risk in Taiwan is relatively minimal.",10,,non-ratification of UNFCCC/Kyoto implies minimal carbon risk; attenuation
Al-Fakir Al Rabab'a et al (2023),key_citation,,"According to stakeholder theory (Donaldson & Preston, 1995; Jones, 1995), building a better relationship with key stakeholders will lead a firm to gain a better reputation, and consequently achieve greater economic success; thus, COD will decrease.",1,"Donaldson & Preston, 1995; Jones, 1995",stakeholder theory anchor for negative CCP-COD link
Al-Fakir Al Rabab'a et al (2023),key_citation,,"In line with neoclassical economics (Friedman, 1970), the unnecessary increase in costs from green projects would be viewed as placing the firm at a competitive disadvantage (Aupperle, Carroll, & Hatfield, 1985)",1,"Friedman, 1970",neoclassical cost-burden anchor for opposing prediction
Al-Fakir Al Rabab'a et al (2023),key_citation,,"Finally, financing a high carbon intensity project which has a negative impact on the environment may create an agency problem between borrowers and lenders (Jung et al., 2018; Maaloul, 2018).",3,"Jung et al., 2018",anchor for borrower-lender agency problem in carbon lending
Al-Fakir Al Rabab'a et al (2023),status,,,,,"Elsevier International Review of Financial Analysis empirical paper; theory in Sections 1-2, plus Kyoto/UNFCCC policy claims used to rationalise the Taiwan sub-sample result."
Ali et al (2023),frame_use,OTHER:decision-usefulness,We interpret our findings within the decision-usefulness and stakeholder-agency theories that suggest that non-financial information on firms' environmental performance is becoming increasingly important when borrowers' creditworthiness is assessed.,3417,,authors' headline frame; non-financial env info feeds creditworthiness assessment
Ali et al (2023),frame_use,AGENCY,can lead to reduced agency costs as stipulated by stakeholder-agency,3428,,"stakeholder-agency: disclosure lowers info asymmetry, cuts agency costs, lowers COD"
Ali et al (2023),frame_use,STAKE,"Finally, from a legitimacy theory perspective, our findings also lend support to the argument that firms with greater climate change actions are likely to gain legitimacy from different stakeholders and, as a result, be rewarded with a lower cost of financing from the capital markets.",3428,,legitimacy gained from stakeholders rewarded with cheaper capital; authors' own claim
Ali et al (2023),frame_use,RISK,"The moot point then, given their exposure to the looming climate change–related risks, is whether banks will factor in corporate climate",3418,,lenders' own climate/transition risk exposure motivates pricing borrower climate actions
