"analysis_id","spec","subset","metric","estimator","rho","k_es","k_study","k_cluster","est_z","se_z","t_stat","df","p","ci_lb_z","ci_ub_z","pi_lb_z","pi_ub_z","est_r","ci_lb_r","ci_ub_r","pi_lb_r","pi_ub_r","sigma2_cluster","sigma2_study","sigma2_esid","pct_cluster","pct_study","pct_esid","pct_sampling","typical_v","value","ms_input","ms_label","note"
"A1","headline","all","Fisher_z","3LMA-RVE_CR2",0.6,2713,115,114,-0.058646736610098,0.013856549617299,-4.23241991908876,111.671795029271,4.76198354846184e-05,-0.0861025946387978,-0.0311908785813981,-0.412102452012687,0.294808978792491,-0.0585795916799434,-0.085890445375146,-0.0311807676166034,-0.390256389579945,0.286554965247759,0.0197455486661123,1.02092128749543e-09,0.0118831792865472,,,,,,,TRUE,"headline_pooled","rma.mv ~1|cluster_id/study/esid; V blocks within cluster_id, rho=0.6 [D31.1/F56: sample-overlap cluster]; CR2/Satterthwaite on cluster_id"
"A2","var_decomposition","all","Fisher_z","3LMA-RVE_REML",0.6,2713,115,114,,,,,,,,,,,,,,,0.0197455486661123,1.02092128749543e-09,0.0118831792865472,0.623434151226591,3.22339585038326e-08,0.375192399950697,0.00137341658875372,4.34991635262953e-05,,TRUE,"variance_decomposition","Cluster/study split weakly identified by design (1 multi-study cluster, DEC-042a); battery A2: '+Cluster-Ebene wo schaetzbar'. Sampling share via Higgins-Thompson typical v."
"A3","pi_overall","all","Fisher_z","3LMA-RVE_CR2",0.6,2713,115,114,-0.058646736610098,0.013856549617299,,111.671795029271,,-0.0861025946387978,-0.0311908785813981,-0.412102452012687,0.294808978792491,-0.0585795916799434,-0.085890445375146,-0.0311807676166034,-0.390256389579945,0.286554965247759,,,,,,,,,,TRUE,"pi_overall","Identical fit to A1 (verifier identity O20). PI = est +/- t_dfSatt*sqrt(SE_CR2^2+sum(sigma2)) [F55]."
"A3","pi_pre","pre","Fisher_z","3LMA-RVE_CR2",0.6,1994,83,82,-0.0602828040717929,0.019345037388621,-3.11618958706444,80.2729465320662,0.0025416564156794,-0.098778645921994,-0.0217869622215917,-0.471893092036842,0.351327483893256,-0.0602098871615735,-0.0984586265081994,-0.0217835156576871,-0.439727628271578,0.337552299257955,0.0281496855515481,1.98880025269709e-09,0.0142603342485258,,,,,,,TRUE,"pi_pre","Descriptive per-period fit on pp_mid_lag0 subset; straddling studies appear in both cells (design fact); 8 ES / 2 studies with undefined windows excluded listwise [DEC-042b]; NO between-group test here (that is B1) [DEC-031a.6]."
"A3","pi_post","post","Fisher_z","3LMA-RVE_CR2",0.6,711,31,31,-0.0487056362543667,0.00853670286772678,-5.70543885725477,27.5163205264441,4.31274781589744e-06,-0.0662061377513313,-0.0312051347574021,-0.211024636977414,0.113613364468681,-0.0486671589615596,-0.0661095743090972,-0.031195009925847,-0.207947037965168,0.113127035023064,0.000736815216542432,0.000736815224418754,0.00472277998999397,,,,,,,TRUE,"pi_post","Descriptive per-period fit on pp_mid_lag0 subset; straddling studies appear in both cells (design fact); 8 ES / 2 studies with undefined windows excluded listwise [DEC-042b]; NO between-group test here (that is B1) [DEC-031a.6]."
"A4","rho_0.4","all","Fisher_z","3LMA-RVE_CR2",0.4,2713,115,114,-0.0593316615643332,0.0138728783331074,-4.27680976792964,111.808351804043,4.01183797256602e-05,-0.0868195061927818,-0.0318438169358846,-0.412321259596727,0.293657936468061,-0.0592621387749256,-0.0866020242137382,-0.0318330577853786,-0.390441856917869,0.285498091193515,0.0199708751346719,2.0563757867896e-09,0.0115743766492199,,,,,,,FALSE,,"Spec-label compatible with catalogue G long table [battery A4 remark]."
"A4","rho_0.8","all","Fisher_z","3LMA-RVE_CR2",0.8,2713,115,114,-0.0580360251444842,0.013825217428174,-4.19783814945393,111.514022448409,5.43943379274241e-05,-0.0854302249562284,-0.03064182533274,-0.412116559321207,0.296044509032239,-0.0579709542141184,-0.0852229974324647,-0.0306322388439846,-0.390268348278839,0.287688639517413,0.0194788756125359,2.85493161610389e-09,0.0122623293624477,,,,,,,FALSE,,"Spec-label compatible with catalogue G long table [battery A4 remark]."
"A5","one_effect_per_cluster","all","Fisher_z","RE_REML_KnHa",0.6,114,,114,-0.0616608386540629,0.0243306602731784,-2.53428546376263,113,0.0126367644358383,-0.109864264918875,-0.0134574123892513,,,-0.0615828112684708,-0.109424362375925,-0.0134566000602298,,,,,,,,,,,,FALSE,,"aggregate.escalc CS rho=0.6 within cluster_id; RE REML + Knapp-Hartung on k=114 aggregates."
"A5","uwls3","all","PCC_r","UWLS+3_CR2",,2713,115,114,-0.0306674217948093,,-2.09519558335318,2.28149855436489,0.155201966469328,-0.0869462575307462,0.0254176733610751,,,-0.0306578112679655,-0.0867278235464365,0.0254122010105056,,,,,,,,,,,,FALSE,,"rp3=t/sqrt(t^2+n_eff+3), var3=1/(t^2+n_eff+3) [Stanley et al. 2024 Eq 2/4/9; df~=n_eff per F21]; CR2 on cluster_id [plan par.5]; conventional UWLS SE = 0.002270. F57 disclosure (unconditional): CR2 df_Satt = 2.28; top-cluster weight share = 37.9%; top-2 = 52.6%. CI below df 4 unreliable (Tipton); inference burden per F54 on one_effect_per_cluster + 3LMA family."
"A5","hs_es_level","all","PCC_r","HS_bare_bones",,2713,115,114,-0.0217730983974793,,,,,-0.0244831504145568,-0.0190633661128298,,,-0.0217696584080739,-0.0244782596525536,-0.0190610571635942,,,,,,,,,,,,FALSE,,"n-weighted mean r; SE = SD_w/sqrt(k), k = 2713 ES -- anti-conservative under dependence; descriptive appendix benchmark [F54]. SE_HS = 0.001382."
