"analysis_id","spec","subset","term","metric","estimator","rho","k_es","k_study","k_cluster","est_z","se_z","t_stat","df","p","ci_lb_z","ci_ub_z","pi_lb_z","pi_ub_z","est_r","ci_lb_r","ci_ub_r","pi_lb_r","pi_ub_r","sigma2_cluster","sigma2_study","sigma2_esid","pct_cluster","pct_study","pct_esid","pct_sampling","typical_v","value","ms_input","ms_label","note"
"B1","paris_mid","defined","cell_pre","Fisher_z","3LMA-RVE_CR2",0.6,1994,83,82,-0.0615991565189955,0.0180461144532684,-3.41343044667652,68.5971129071262,0.00108046964427755,-0.0976039423484408,-0.0255943706895502,,,-0.0615213628260252,-0.097295176600782,-0.0255887834366468,,,0.0204666038894258,1.86472794854943e-09,0.011878550872389,,,,,,,TRUE,"paris_mid_cell_pre","Cell mean at coding = 0 (pre); rma.mv ~0+factor(coding), V rho=0.6 on cluster_id [F56], CR2/Satterthwaite on cluster_id; headline binary pp_mid_lag0; k = complete cases on coding [DEC-042b]; transfer rule NOT triggered (design df 31.9) -> binary carries full inference"
"B1","paris_mid","defined","cell_post","Fisher_z","3LMA-RVE_CR2",0.6,711,31,31,-0.051423249808593,0.0103293523654357,-4.97836146830142,19.7567151023143,7.47529519688623e-05,-0.0729869232775503,-0.0298595763396356,,,-0.0513779706673737,-0.0728575961854734,-0.0298507052940249,,,0.0204666038894258,1.86472794854943e-09,0.011878550872389,,,,,,,TRUE,"paris_mid_cell_post","Cell mean at coding = 1 (post); rma.mv ~0+factor(coding), V rho=0.6 on cluster_id [F56], CR2/Satterthwaite on cluster_id; headline binary pp_mid_lag0; k = complete cases on coding [DEC-042b]; transfer rule NOT triggered (design df 31.9) -> binary carries full inference"
"B1","paris_mid","defined","diff","Fisher_z","3LMA-RVE_CR2",0.6,2705,113,112,0.0101759067104026,0.0181072824212575,0.561978682038798,14.9920663728925,0.582435725630516,-0.0284206311144901,0.0487724445352953,,,,,,,,0.0204666038894258,1.86472794854943e-09,0.011878550872389,,,,,,,TRUE,"paris_mid_diff","post - pre moderator contrast (own formal inference per model [DEC-031a.6]); difference of Fisher-z means; no tanh transform of differences; headline binary pp_mid_lag0; k = complete cases on coding [DEC-042b]; transfer rule NOT triggered (design df 31.9) -> binary carries full inference"
"B3","tie_break_median","defined","cell_pre","Fisher_z","3LMA-RVE_CR2",0.6,2073,88,87,-0.0610454293215054,0.0171159385624847,-3.56658380717181,75.0852727594776,0.000633760487671207,-0.0951414927104572,-0.0269493659325537,,,-0.0609697126823082,-0.0948554577888118,-0.0269428436703677,,,0.0204607447218486,4.91539263021507e-10,0.011878769829278,,,,,,,FALSE,,"Cell mean at coding = 0 (pre); rma.mv ~0+factor(coding), V rho=0.6 on cluster_id [F56], CR2/Satterthwaite on cluster_id; tie-break variant pp_median_lag0 (ties->Pre) [plan par.6]; ONE variant; sensitivity"
"B3","tie_break_median","defined","cell_post","Fisher_z","3LMA-RVE_CR2",0.6,632,26,26,-0.0512398884207987,0.0113956903215929,-4.49642689251637,15.6330480305914,0.000386699645032957,-0.0754438405903557,-0.0270359362512417,,,-0.0511950915770714,-0.0753010293142456,-0.0270293509442148,,,0.0204607447218486,4.91539263021507e-10,0.011878769829278,,,,,,,FALSE,,"Cell mean at coding = 1 (post); rma.mv ~0+factor(coding), V rho=0.6 on cluster_id [F56], CR2/Satterthwaite on cluster_id; tie-break variant pp_median_lag0 (ties->Pre) [plan par.6]; ONE variant; sensitivity"
"B3","tie_break_median","defined","diff","Fisher_z","3LMA-RVE_CR2",0.6,2705,113,112,0.00980554090070676,0.0177480274878596,0.552486235859966,12.2637097789956,0.59054305378376,-0.0287720664658283,0.0483831482672418,,,,,,,,0.0204607447218486,4.91539263021507e-10,0.011878769829278,,,,,,,FALSE,,"post - pre moderator contrast (own formal inference per model [DEC-031a.6]); difference of Fisher-z means; no tanh transform of differences; tie-break variant pp_median_lag0 (ties->Pre) [plan par.6]; ONE variant; sensitivity"
"B3","end_any_exposure","defined","cell_pre","Fisher_z","3LMA-RVE_CR2",0.6,611,27,27,-0.0438447093475734,0.0105704048908513,-4.14787416379111,25.4126768439086,0.000329640940965235,-0.0655969539971294,-0.0220924646980175,,,-0.043816635850523,-0.0655030286254501,-0.0220888711249875,,,0.0204494881775962,2.02040936869797e-09,0.011877985361228,,,,,,,FALSE,,"Cell mean at coding = 0 (pre); rma.mv ~0+factor(coding), V rho=0.6 on cluster_id [F56], CR2/Satterthwaite on cluster_id; pp_end_lag0 (any exposure by window end); upper-recall bound"
"B3","end_any_exposure","defined","cell_post","Fisher_z","3LMA-RVE_CR2",0.6,2094,86,85,-0.0632481645925098,0.0180666745030375,-3.50081939993307,83.4849103305297,0.000747196833297005,-0.0991789671026683,-0.0273173620823514,,,-0.0631639614757971,-0.0988550512885737,-0.0273105690230231,,,0.0204494881775962,2.02040936869797e-09,0.011877985361228,,,,,,,FALSE,,"Cell mean at coding = 1 (post); rma.mv ~0+factor(coding), V rho=0.6 on cluster_id [F56], CR2/Satterthwaite on cluster_id; pp_end_lag0 (any exposure by window end); upper-recall bound"
"B3","end_any_exposure","defined","diff","Fisher_z","3LMA-RVE_CR2",0.6,2705,113,112,-0.0194034552449364,0.0209317506949428,-0.926986735496728,41.6029095187179,0.35928021253577,-0.0616573866283337,0.0228504761384608,,,,,,,,0.0204494881775962,2.02040936869797e-09,0.011877985361228,,,,,,,FALSE,,"post - pre moderator contrast (own formal inference per model [DEC-031a.6]); difference of Fisher-z means; no tanh transform of differences; pp_end_lag0 (any exposure by window end); upper-recall bound"
"B3","share_recut_2017","defined","cell_pre","Fisher_z","3LMA-RVE_CR2",0.6,2082,91,90,-0.0604594880128316,0.0167019734348267,-3.61990086074274,78.7655514152521,0.000519160678407966,-0.0937054732150305,-0.0272135028106327,,,-0.0603859287080153,-0.0934321660675824,-0.0272067869225263,,,0.0204557732304027,2.75377029366802e-09,0.0118790830586157,,,,,,,FALSE,,"Cell mean at coding = 0 (pre); rma.mv ~0+factor(coding), V rho=0.6 on cluster_id [F56], CR2/Satterthwaite on cluster_id; in-script recut share_2017 >= 0.5 (ties->Post) [P2/DEC-024]; main-text coding sensitivity; collapse = finding"
