"basis","var1","var2","n","cramers_v"
"es_level","CER_measure","COD_instrument",2713,0.182267600378698
"cluster_modal","CER_measure","COD_instrument",114,0.122295184262577
"es_level","CER_measure","industry",2713,0.208931415308328
"cluster_modal","CER_measure","industry",114,0.143308060257968
"es_level","CER_measure","regulation3",2713,0.230504915189483
"cluster_modal","CER_measure","regulation3",114,0.241614207041084
"es_level","CER_measure","country_region",2713,0.291899910752936
"cluster_modal","CER_measure","country_region",114,0.307382457117749
"es_level","CER_measure","country_econ",2713,0.403947504943713
"cluster_modal","CER_measure","country_econ",114,0.40980322115903
"es_level","CER_measure","country_culture",2713,0.346687582645064
"cluster_modal","CER_measure","country_culture",114,0.407788595140542
"es_level","CER_measure","country_legal",2713,0.331941156225179
"cluster_modal","CER_measure","country_legal",114,0.36572529580621
"es_level","COD_instrument","industry",2713,0.150822020492147
"cluster_modal","COD_instrument","industry",114,0.127385929300922
"es_level","COD_instrument","regulation3",2713,0.246900847201258
"cluster_modal","COD_instrument","regulation3",114,0.228822489654091
"es_level","COD_instrument","country_region",2713,0.292913739689563
"cluster_modal","COD_instrument","country_region",114,0.241644303114894
"es_level","COD_instrument","country_econ",2713,0.341350700362443
"cluster_modal","COD_instrument","country_econ",114,0.266187368719319
"es_level","COD_instrument","country_culture",2713,0.310102253240562
"cluster_modal","COD_instrument","country_culture",114,0.22426322022116
"es_level","COD_instrument","country_legal",2713,0.292790431976108
"cluster_modal","COD_instrument","country_legal",114,0.181107671517088
"es_level","industry","regulation3",2713,0.225767279524441
"cluster_modal","industry","regulation3",114,0.163689984257427
"es_level","industry","country_region",2713,0.282838664186573
"cluster_modal","industry","country_region",114,0.199091083198987
"es_level","industry","country_econ",2713,0.240742245565356
"cluster_modal","industry","country_econ",114,0.196616811409486
"es_level","industry","country_culture",2713,0.19244220398202
"cluster_modal","industry","country_culture",114,0.122869079324646
"es_level","industry","country_legal",2713,0.196181806377846
"cluster_modal","industry","country_legal",114,0.113284947593829
"es_level","regulation3","country_region",2713,0.712838982076169
"cluster_modal","regulation3","country_region",114,0.687043218766619
"es_level","regulation3","country_econ",2713,0.571353414858286
"cluster_modal","regulation3","country_econ",114,0.573553633028636
"es_level","regulation3","country_culture",2713,0.594013998020648
"cluster_modal","regulation3","country_culture",114,0.568037719655048
"es_level","regulation3","country_legal",2713,0.602023683738234
"cluster_modal","regulation3","country_legal",114,0.6103517752031
"es_level","country_region","country_econ",2713,0.826243022420706
"cluster_modal","country_region","country_econ",114,0.777757025020456
"es_level","country_region","country_culture",2713,0.869849499864767
"cluster_modal","country_region","country_culture",114,0.843020801475509
"es_level","country_region","country_legal",2713,0.866284502672986
"cluster_modal","country_region","country_legal",114,0.759043344530137
"es_level","country_econ","country_culture",2713,0.776494521602486
"cluster_modal","country_econ","country_culture",114,0.752763386980441
"es_level","country_econ","country_legal",2713,0.865103393834648
"cluster_modal","country_econ","country_legal",114,0.761268898913623
"es_level","country_culture","country_legal",2713,0.819691838135997
"cluster_modal","country_culture","country_legal",114,0.736731396233221
