"analysis_id","spec","subset","term","metric","estimator","rho","k_es","k_study","k_cluster","est_z","se_z","t_stat","df","p","ci_lb_z","ci_ub_z","pi_lb_z","pi_ub_z","est_r","ci_lb_r","ci_ub_r","pi_lb_r","pi_ub_r","sigma2_cluster","sigma2_study","sigma2_esid","pct_cluster","pct_study","pct_esid","pct_sampling","typical_v","value","ms_input","ms_label","note"
"C1","levels","classified","lvl::performance","Fisher_z","3LMA-RVE_CR2",0.6,2212,98,97,-0.0558797665954556,0.0146074596264529,-3.82542673568386,109.559008849088,0.000217465097773484,-0.0848296187976713,-0.0269299143932399,-0.409755241684181,0.29799570849327,-0.0558216767260757,-0.0846267230031056,-0.0269234062410693,-0.388264838870333,0.289477342099845,0.0197900052092366,1.74400101331539e-09,0.0118795005894252,,,,,,,FALSE,,"rma.mv mods=~ 0 + CER_measure (cell means, NCE excluded); random ~1|cluster_id/study/esid; V blocks within cluster_id, rho=0.6; CR2/Satterthwaite on cluster_id [D31.1/A.2]; domain = M_A classified [A.14]"
"C1","levels","classified","lvl::disclosure","Fisher_z","3LMA-RVE_CR2",0.6,501,34,34,-0.0685677824250173,0.0172825568700528,-3.9674559117946,54.9962459031264,0.000212172416809731,-0.103202853503219,-0.0339327113468159,-0.426884558367227,0.289748993517192,-0.0684605260533435,-0.102838009135074,-0.0339196936408755,-0.402714405071012,0.281903769958987,0.0197900052092366,1.74400101331539e-09,0.0118795005894252,,,,,,,FALSE,,"rma.mv mods=~ 0 + CER_measure (cell means, NCE excluded); random ~1|cluster_id/study/esid; V blocks within cluster_id, rho=0.6; CR2/Satterthwaite on cluster_id [D31.1/A.2]; domain = M_A classified [A.14]"
"C1","levels","classified","pair::performance - disclosure","Fisher_z","3LMA-RVE_CR2",0.6,2713,115,114,0.0126880158295617,0.0152473058674352,0.832148048965193,8.72571632711961,0.427511586795499,-0.0219697686306437,0.0473458002897671,,,,,,,,0.0197900052092366,1.74400101331539e-09,0.0118795005894252,,,,,,,FALSE,,"pairwise contrast (z scale); rma.mv mods=~ 0 + CER_measure (cell means, NCE excluded); random ~1|cluster_id/study/esid; V blocks within cluster_id, rho=0.6; CR2/Satterthwaite on cluster_id [D31.1/A.2]; domain = M_A classified [A.14]"
"C1","levels","classified","levels_HTZ","F_test","3LMA-RVE_CR2",0.6,2713,115,114,,,0.692470375396578,8.72571632711961,0.427511586795499,,,,,,,,,,0.0197900052092366,1.74400101331539e-09,0.0118795005894252,,,,,,,FALSE,,"H0: all level means equal; rma.mv mods=~ 0 + CER_measure (cell means, NCE excluded); random ~1|cluster_id/study/esid; V blocks within cluster_id, rho=0.6; CR2/Satterthwaite on cluster_id [D31.1/A.2]; domain = M_A classified [A.14]; HTZ; num_df = 1"
"C1","paris_mid","defined_classified","cell_pre::performance","Fisher_z","3LMA-RVE_CR2",0.6,1650,74,73,-0.0633987941257972,0.0189285077050628,-3.34938153147911,67.1978585771463,0.00133122428272733,-0.101178208861748,-0.0256193793898464,,,-0.0633139886159933,-0.100834361996655,-0.0256137757456014,,,0.02058390453916,1.78268969126447e-09,0.0118440715575858,,,,,,,FALSE,,"rma.mv mods=~ 0 + cell(CER_measure x pp_mid_lag0), nonempty cells; random ~1|cluster_id/study/esid; V blocks within cluster_id, rho=0.6; CR2/Satterthwaite on cluster_id [D31.1/A.2]; domain = M_B period+classified [A.14]"
"C1","paris_mid","defined_classified","cell_post::performance","Fisher_z","3LMA-RVE_CR2",0.6,556,24,24,-0.0418050322452938,0.00986474810328302,-4.23782055128006,19.2070972736066,0.000435966816347642,-0.0624371298016803,-0.0211729346889072,,,-0.0417806955871087,-0.0623561212520917,-0.0211697713621888,,,0.02058390453916,1.78268969126447e-09,0.0118440715575858,,,,,,,FALSE,,"rma.mv mods=~ 0 + cell(CER_measure x pp_mid_lag0), nonempty cells; random ~1|cluster_id/study/esid; V blocks within cluster_id, rho=0.6; CR2/Satterthwaite on cluster_id [D31.1/A.2]; domain = M_B period+classified [A.14]"
"C1","paris_mid","defined_classified","cell_pre::disclosure","Fisher_z","3LMA-RVE_CR2",0.6,344,22,22,-0.049720855729203,0.0243449796213046,-2.0423453419403,31.5225718734784,0.0495574553773001,-0.0993394288530443,-0.000102282605361756,,,-0.049679923510366,-0.0990139424334229,-0.000102282605005072,,,0.02058390453916,1.78268969126447e-09,0.0118440715575858,,,,,,,FALSE,,"rma.mv mods=~ 0 + cell(CER_measure x pp_mid_lag0), nonempty cells; random ~1|cluster_id/study/esid; V blocks within cluster_id, rho=0.6; CR2/Satterthwaite on cluster_id [D31.1/A.2]; domain = M_B period+classified [A.14]"
"C1","paris_mid","defined_classified","cell_post::disclosure","Fisher_z","3LMA-RVE_CR2",0.6,155,11,11,-0.0861733342618757,0.0160271059021026,-5.37672458073486,16.786462245618,5.24163186203148e-05,-0.120020368501718,-0.0523263000220333,,,-0.0859606627133496,-0.119447376473772,-0.0522785950719067,,,0.02058390453916,1.78268969126447e-09,0.0118440715575858,,,,,,,FALSE,,"rma.mv mods=~ 0 + cell(CER_measure x pp_mid_lag0), nonempty cells; random ~1|cluster_id/study/esid; V blocks within cluster_id, rho=0.6; CR2/Satterthwaite on cluster_id [D31.1/A.2]; domain = M_B period+classified [A.14]"
"C1","paris_mid","defined_classified","diff::performance","Fisher_z","3LMA-RVE_CR2",0.6,2705,113,112,0.0215937618805034,0.0179511124551028,1.20292053957721,14.3484924088468,0.248481095440161,-0.0168200011516822,0.060007524912689,,,,,,,,0.02058390453916,1.78268969126447e-09,0.0118440715575858,,,,,,,FALSE,,"post minus pre within level (z scale); rma.mv mods=~ 0 + cell(CER_measure x pp_mid_lag0), nonempty cells; random ~1|cluster_id/study/esid; V blocks within cluster_id, rho=0.6; CR2/Satterthwaite on cluster_id [D31.1/A.2]; domain = M_B period+classified [A.14]"
"C1","paris_mid","defined_classified","diff::disclosure","Fisher_z","3LMA-RVE_CR2",0.6,2705,113,112,-0.0364524785326727,0.0278905936732154,-1.30698109046276,22.0751794042213,0.204670766265667,-0.0942826106427491,0.0213776535774037,,,,,,,,0.02058390453916,1.78268969126447e-09,0.0118440715575858,,,,,,,FALSE,,"post minus pre within level (z scale); rma.mv mods=~ 0 + cell(CER_measure x pp_mid_lag0), nonempty cells; random ~1|cluster_id/study/esid; V blocks within cluster_id, rho=0.6; CR2/Satterthwaite on cluster_id [D31.1/A.2]; domain = M_B period+classified [A.14]"
