"cluster_id","study","esid","zi","vi","rstudent_t","flag_rstudent","mad_center","mad_scale","flag_mad","flag_both","hatvalue"
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",1,-0.309519604203112,1.70494262868054e-05,-1.40650207448961,FALSE,-0.0282100828468845,0.0418242688287909,TRUE,FALSE,0.000351086320372273
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",2,-0.0801713250375897,1.70494262868054e-05,-0.120682798571544,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000351086320372271
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",3,-0.120581028408444,1.70494262868054e-05,-0.347235950474098,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000351086320372281
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",4,-0.151140435936467,1.70494262868054e-05,-0.518564357223593,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000351086320372274
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",5,-0.0399579844116374,0.000273000273000273,0.104323524045807,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000252770185265997
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",6,-0.0394628960852313,0.000273000273000273,0.107087809342884,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000252770185265986
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",7,-0.0404530629492479,0.000273000273000273,0.101559293403672,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000252770185265992
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",8,-0.0303846871581149,0.000273000273000273,0.157775248578589,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000252770185265999
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",9,-0.0506822903731672,0.000273000273000273,0.0444452362542061,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000252770185265993
"Al-Fakir Al Rabab'a et al (2023)","Al-Fakir Al Rabab'a et al (2023)",10,-0.0515070114807454,0.000273000273000273,0.0398404732043151,FALSE,-0.0282100828468845,0.0418242688287909,FALSE,FALSE,0.000252770185265991
