"cluster_id_dropped","k_es","k_study","est_z","se_z","ci_lb_z","ci_ub_z","df","sigma2_1","sigma2_2","sigma2_3","cooks_d_cluster","status","note"
"Al-Fakir Al Rabab'a et al (2023)",2657,114,-0.0586594525330189,0.0139867712646364,-0.0863760539989959,-0.030942851067042,110.680919494412,0.0199311884589543,3.13407074937655e-09,0.0120020756903838,8.40964191162646e-07,"ok",""
"Ali et al (2023)",2703,114,-0.0580261750168391,0.0139807253182893,-0.085730778875057,-0.0303215711586212,110.686986000526,0.0199327867645534,2.85627190960437e-09,0.0119086217226486,0.00200286426109502,"ok",""
"Ali et al (2026)",2704,114,-0.0589481641655886,0.0139984106282136,-0.0866878030374431,-0.0312085252937341,110.690849905895,0.0199862166849352,2.60632746950697e-09,0.0119194870812943,0.000472549853915898,"ok",""
"Almutairi (2026)",2697,114,-0.058609616709956,0.0140059853722364,-0.0863642528223402,-0.0308549805975719,110.695571629986,0.020013220036412,2.67595782650115e-10,0.0118978953446534,7.16630567201356e-06,"ok",""
"Altavilla et al (2024)",2631,114,-0.0589555387668993,0.0139069863646437,-0.0865141947484656,-0.031396882785333,110.623297100808,0.0196454842427637,2.16666334048739e-09,0.0122951640136615,0.000495955122339067,"ok",""
"Apergis et al (2022)",2711,114,-0.0584714301891716,0.0139772685751687,-0.0861690880287591,-0.0307737723495841,110.721726522947,0.0199626598118581,2.161396052174e-09,0.0118872378584552,0.000159837020985655,"ok",""
"Atif, Ali (2021)",2711,114,-0.0587580379351048,0.0139812389184258,-0.0864635690591172,-0.0310525068110924,110.719712946451,0.0199733340355963,1.77205111568083e-09,0.0118871335346109,6.44291496082498e-05,"ok",""
"Attig et al (2025)",2697,114,-0.0594608281818434,0.0139746866653823,-0.0871534703725994,-0.0317681859910875,110.685286342038,0.0199070495095847,1.60522593454824e-09,0.0119204934766245,0.00344689653343863,"ok",""
"Azmi et al (2021)",2710,114,-0.0594649869878354,0.0139467618646221,-0.0871022028929175,-0.0318277710827532,110.7178016975,0.0198697492576077,2.40089525251796e-09,0.0118886747642088,0.00348220359159264,"ok",""
"Bannier et al (2022)",2700,114,-0.0591734477373903,0.0139876455809781,-0.086891766810209,-0.0314551286645717,110.686326615008,0.0199464964073639,1.81821689914412e-09,0.0119389615955758,0.00144286838265403,"ok",""
"Bauer, Hann (2010)",2547,114,-0.0588324303007518,0.0138083555310903,-0.0861958536131336,-0.03146900698837,110.543559996962,0.019299770400767,2.50041753269412e-09,0.0126667935686053,0.000179339529468089,"ok",""
"Ben Slimane et al (2019)",2705,114,-0.0565196586635114,0.0150095996467979,-0.0862609815070938,-0.0267783358199291,111.408215680351,0.0239011014873886,1.66788569926735e-09,0.00685058803212236,0.0235314419190828,"ok",""
"Bhattacharya & Sharma (2019)",2711,114,-0.0587040393870577,0.0139640780575343,-0.0863753342342383,-0.0310327445398772,110.803054985956,0.0199553528474067,1.77165165353295e-09,0.0118579189723371,1.70778450170372e-05,"ok",""
"Boermans et al (2023)",2652,114,-0.0590700564810845,0.0139291700494941,-0.0866726209969189,-0.0314674919652502,110.641990998986,0.0197266627666209,2.29462629924877e-10,0.0121948972199353,0.000932006712788778,"ok",""
"Borsuk & Shrimali (2026)",2708,114,-0.0592095029042916,0.0139853234568751,-0.0869232098696729,-0.0314957959389104,110.690128714524,0.0199570484184728,3.07707477760359e-09,0.0119018914122599,0.00164716796309255,"ok",""
"Boubaker et al (2026)",2697,114,-0.0586735585079289,0.0139994352107806,-0.0864152304874371,-0.0309318865284207,110.689851030446,0.0199847584978994,2.29980407132531e-09,0.0119353469822844,3.74162912896184e-06,"ok",""
"Brinette et al (2026)",2701,114,-0.0575546042195222,0.0139584002286396,-0.085214952110463,-0.0298942563285813,110.692755893373,0.0198801458018512,2.20796290958965e-09,0.0118101595279324,0.00620343599208973,"ok",""
"Caragnano et al (2020)",2708,114,-0.0590289137031993,0.0139957982753348,-0.0867633654894737,-0.0312944619169248,110.694597037735,0.0199913663751959,2.07424478541346e-09,0.0118912063469801,0.000759645615909223,"ok",""
"Chava (2010)",2663,114,-0.0590028883477755,0.013948522361277,-0.0866437665636907,-0.0313620101318604,110.654869545392,0.0197957461020223,2.68493015521485e-09,0.0121295780572423,0.000659708174407251,"ok",""
"Chava (2014)",2691,114,-0.0590015042034898,0.0139845464738241,-0.0867136964088195,-0.0312893119981601,110.681117928593,0.0199278116005608,2.19779913806347e-09,0.0119866489967838,0.00065459037313553,"ok",""
"Chen et al (2020)",2665,114,-0.0590458787779576,0.0139591913799336,-0.0867078745916714,-0.0313838829642437,110.663736850635,0.0198339616184966,2.60944247348176e-09,0.0120847120703208,0.00082858478402989,"ok",""
"Chen, Gao (2011)",2709,114,-0.0585007637500423,0.0139733115268106,-0.0861904844578869,-0.0308110430421976,110.756397958082,0.0199677613845981,1.78486545383802e-09,0.0118617951624422,0.000110821995183836,"ok",""
"Chodnicka-Jaworska (2022)",2703,114,-0.0584423655954828,0.014032918229548,-0.0862502908292177,-0.0306344403617479,110.725029876928,0.0201285362869718,1.98151562107030e-09,0.0117425228168928,0.000217230265118417,"ok",""
"Christ et al (2022)",2678,114,-0.0587565823522207,0.013974982809859,-0.0864498500476392,-0.0310633146568023,110.671307300272,0.0198962032324682,2.96458709391035e-09,0.0120310241613941,6.27549784554782e-05,"ok",""
