"analysis_id","spec","subset","term","metric","estimator","rho","k_es","k_study","k_cluster","est_z","se_z","t_stat","df","p","ci_lb_z","ci_ub_z","pi_lb_z","pi_ub_z","est_r","ci_lb_r","ci_ub_r","pi_lb_r","pi_ub_r","sigma2_cluster","sigma2_study","sigma2_esid","pct_cluster","pct_study","pct_esid","pct_sampling","typical_v","value","ms_input","ms_label","note"
"G1","no_starbound","estimation","intrcpt",NA,TRUE,NA,2614,112,111,-0.0579816151336022,0.0145220684020619,NA,108.653452602814,0.000119062968834854,-0.0867649129672002,-0.0291983173000043,NA,NA,-0.0579167268842443,-0.0865478401763457,-0.0291900225339678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"drop es_method==star-bound (99 ES / 11 studies)"
"G2","no_nobs_proxyfill","estimation","intrcpt",NA,TRUE,NA,2417,109,109,-0.0381676201344568,0.00473707027583679,NA,95.8692747571903,2.16615475585497e-12,-0.0475707939487125,-0.0287644463202012,NA,NA,-0.0381490971484755,-0.0475349424754777,-0.0287565157741174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"drop flag_proxy_n==TRUE (296 rows; 297 on the usable basis incl. 134 FLAG-based, one tagged duplicate exits at the estimation filter; R-19)"
"G3","n_firms_variance","estimation","intrcpt",NA,TRUE,NA,2713,115,114,-0.0513619041756673,0.00996060543789951,NA,109.896608617746,1.12197143364988e-06,-0.0711016927457283,-0.0316221156056063,NA,NA,-0.0513167867754985,-0.0709821175082076,-0.0316115795552785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vi rebuilt on n_firms via adjustment recovery; 0 rows dropped (missing/invalid n_firms)"
"G4","direct_r_only","estimation","intrcpt",NA,TRUE,NA,104,52,52,-0.0377767354308514,0.0241007691042215,NA,49.5034247914075,0.123380402432223,-0.0861965889888257,0.010643118127123,NA,NA,-0.0377587755197785,-0.0859837455594983,0.010642716275511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"es_method==bivariate; near-identical to G9 bivariate cell (delta 2 ES / 1 study)"
"G5","pcc_df_k10","estimation","intrcpt",NA,TRUE,NA,2713,115,114,-0.058528012690399,0.0138921466094887,NA,111.63275377109,5.12972954764919e-05,-0.0860545092965546,-0.0310015160842434,NA,NA,-0.0584612743471975,-0.0858427145694852,-0.0309915881105508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PCC vi = 1/(n-10-3); bivariate rows unchanged; 0 rows dropped (nonpositive vi)"
"G5","pcc_df_k20","estimation","intrcpt",NA,TRUE,NA,2712,115,114,-0.0580057174134896,0.0139361764210233,NA,111.573950510187,6.22505218504062e-05,-0.0856196160328687,-0.0303918187941105,NA,NA,-0.0579407482831787,-0.0854110099325662,-0.0303824649873754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PCC vi = 1/(n-20-3); bivariate rows unchanged; 1 rows dropped (nonpositive vi)"
"G6","one_per_cluster_median","aggregate","intrcpt",NA,TRUE,NA,NA,NA,NA,-0.06199137628065,0.0160772424450326,NA,113,0.0001921248649832,-0.0938432932462963,-0.0301394593150036,NA,NA,-0.0619120886354912,-0.0935687812292509,-0.0301303365320417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114 cluster medians; vi of median-carrying row (even: mean of two middle); k=114"
"G7","panel_q_vhb","1_VHB high","cell_mean",NA,TRUE,NA,1591,73,73,-0.0600160510644849,0.0204202932084405,NA,71.5587822878493,0.00442932434179183,-0.100727450186185,-0.0193046519427849,NA,NA,-0.0599440969328095,-0.100388166190574,-0.0193022542146552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NCE cell retained per D31.4; text feature = high vs low; publication-status inference single-homed in D5"
"G7","panel_q_vhb","0_VHB low","cell_mean",NA,TRUE,NA,442,28,27,-0.0561966323154083,0.0151218513947225,NA,25.3127475714484,0.00100747564695395,-0.0873211685771063,-0.0250720960537103,NA,NA,-0.0561375494758411,-0.0870999025029524,-0.0250668438509034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NCE cell retained per D31.4; text feature = high vs low; publication-status inference single-homed in D5"
"G7","panel_q_vhb","99_NCE","cell_mean",NA,TRUE,NA,680,14,14,-0.0565581639963162,0.0218940985892439,NA,12.9880103312741,0.0227293848278272,-0.103861927270336,-0.0092544007222965,NA,NA,-0.0564979344870699,-0.103490068475087,-0.00925413653692254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NCE cell retained per D31.4; text feature = high vs low; publication-status inference single-homed in D5"
"G7","panel_q_vhb","panel","HTZ_omnibus",NA,TRUE,NA,2713,115,114,NA,NA,NA,34.7475364271227,0.988330176120489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F=0.0117, df_num=2.0; descriptive [DEC-047]"
"G7","panel_q_vhb","1_VHB high vs 0_VHB low","pairwise_contrast",NA,TRUE,NA,NA,NA,NA,-0.00381941874907657,0.025409816298485,NA,43.6007430079486,0.881211123260662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR2/Satterthwaite (HTZ 1-df); z-scale only; descriptive [DEC-047]"
