analysis_id,spec,subset,term,metric,estimator,rho,k_es,k_study,k_cluster,est_z,se_z,t_stat,df,p,ci_lb_z,ci_ub_z,pi_lb_z,pi_ub_z,est_r,ci_lb_r,ci_ub_r,pi_lb_r,pi_ub_r,sigma2_cluster,sigma2_study,sigma2_esid,pct_cluster,pct_study,pct_esid,pct_sampling,typical_v,value,ms_input,ms_label,note
H2a,psma_default,full,mu_avg,Fisher_z,RoBMA_3.6.1,0.6,2713,115,114,0.00817094018682664,,,,,0,0.11030526513169775,,,0.008170758349414744,0,0.10986006113503563,,,,,,,,,,,,TRUE,robma_mu_primary,"RoBMA 3.6.1 [DEC-046]; y/se input, transformation=""none"", prior_scale=""none"" (priors act on Fisher-z verbatim); effect_direction=""negative"" [P-T5-2]; seed 20260710; sequential chains, 3.x defaults incl. autofit=TRUE; one-effect-per-cluster aggregates: metafor aggregate.escalc, struct=""CS"", rho=0.6 (T1/A5 convention [DEC-031g/F65]); PSMA package defaults (primary [DEC-031b]); default priors echoed verbatim in run_meta; estimation set 2713/115/114 [DEC-042a]; k = 114 aggregates; model-averaged posterior mean, 95% central CI; summary row 'mu'"
H2a,psma_default,full,tau_avg,tau,RoBMA_3.6.1,0.6,2713,115,114,0.26616287315156406,,,,,0.2336534602698801,0.3060781742180193,,,,,,,,,,,,,,,,,FALSE,,"RoBMA 3.6.1 [DEC-046]; y/se input, transformation=""none"", prior_scale=""none"" (priors act on Fisher-z verbatim); effect_direction=""negative"" [P-T5-2]; seed 20260710; sequential chains, 3.x defaults incl. autofit=TRUE; one-effect-per-cluster aggregates: metafor aggregate.escalc, struct=""CS"", rho=0.6 (T1/A5 convention [DEC-031g/F65]); PSMA package defaults (primary [DEC-031b]); default priors echoed verbatim in run_meta; estimation set 2713/115/114 [DEC-042a]; k = 114 aggregates; model-averaged tau on the Fisher-z scale; no tanh (scale parameter)"
H2a,psma_default,full,bf01_effect,BF01,RoBMA_3.6.1,0.6,2713,115,114,,,,,,,,,,,,,,,,,,,,,,,7.032778458001974,TRUE,bf01_level_primary,"RoBMA 3.6.1 [DEC-046]; y/se input, transformation=""none"", prior_scale=""none"" (priors act on Fisher-z verbatim); effect_direction=""negative"" [P-T5-2]; seed 20260710; sequential chains, 3.x defaults incl. autofit=TRUE; one-effect-per-cluster aggregates: metafor aggregate.escalc, struct=""CS"", rho=0.6 (T1/A5 convention [DEC-031g/F65]); PSMA package defaults (primary [DEC-031b]); default priors echoed verbatim in run_meta; estimation set 2713/115/114 [DEC-042a]; k = 114 aggregates; inclusion BF10 (effect) = 0.142191; BF01 = 1/BF10 quantifies evidence FOR the null of the effect component; raw value, band labelling downstream [DEC-044]"
H2a,psma_default,full,bf01_heterogeneity,BF01,RoBMA_3.6.1,0.6,2713,115,114,,,,,,,,,,,,,,,,,,,,,,,0,FALSE,,"RoBMA 3.6.1 [DEC-046]; y/se input, transformation=""none"", prior_scale=""none"" (priors act on Fisher-z verbatim); effect_direction=""negative"" [P-T5-2]; seed 20260710; sequential chains, 3.x defaults incl. autofit=TRUE; one-effect-per-cluster aggregates: metafor aggregate.escalc, struct=""CS"", rho=0.6 (T1/A5 convention [DEC-031g/F65]); PSMA package defaults (primary [DEC-031b]); default priors echoed verbatim in run_meta; estimation set 2713/115/114 [DEC-042a]; k = 114 aggregates; inclusion BF10 (heterogeneity) = Inf; BF01 = 1/BF10; SATURATED: posterior inclusion probability at the floating-point boundary — BF beyond double-precision resolution, raw pair Inf/0 preserved [#18]"
H2a,psma_default,full,bf01_bias,BF01,RoBMA_3.6.1,0.6,2713,115,114,,,,,,,,,,,,,,,,,,,,,,,0.010554326548402274,FALSE,,"RoBMA 3.6.1 [DEC-046]; y/se input, transformation=""none"", prior_scale=""none"" (priors act on Fisher-z verbatim); effect_direction=""negative"" [P-T5-2]; seed 20260710; sequential chains, 3.x defaults incl. autofit=TRUE; one-effect-per-cluster aggregates: metafor aggregate.escalc, struct=""CS"", rho=0.6 (T1/A5 convention [DEC-031g/F65]); PSMA package defaults (primary [DEC-031b]); default priors echoed verbatim in run_meta; estimation set 2713/115/114 [DEC-042a]; k = 114 aggregates; inclusion BF10 (publication bias) = 94.7479; BF01 = 1/BF10"
H2a,coe_informed,full,mu_avg,Fisher_z,RoBMA_3.6.1,0.6,2713,115,114,-0.00949758018337179,,,,,-0.06243407779355121,0,,,-0.009497294620341521,-0.06235308111046405,0,,,,,,,,,,,,FALSE,,"RoBMA 3.6.1 [DEC-046]; y/se input, transformation=""none"", prior_scale=""none"" (priors act on Fisher-z verbatim); effect_direction=""negative"" [P-T5-2]; seed 20260710; sequential chains, 3.x defaults incl. autofit=TRUE; one-effect-per-cluster aggregates: metafor aggregate.escalc, struct=""CS"", rho=0.6 (T1/A5 convention [DEC-031g/F65]); COE-informed effect prior Normal(-0.041, 0.021173); sigma = 0.083/3.92 = 0.0212 [DEC-031b provenance arithmetic]; COE companion = only admissible external prior source; estimation set 2713/115/114 [DEC-042a]; k = 114 aggregates; model-averaged posterior mean, 95% central CI; summary row 'mu'"
H2a,coe_informed,full,tau_avg,tau,RoBMA_3.6.1,0.6,2713,115,114,0.2640412086738868,,,,,0.2321524871176349,0.3017822169772348,,,,,,,,,,,,,,,,,FALSE,,"RoBMA 3.6.1 [DEC-046]; y/se input, transformation=""none"", prior_scale=""none"" (priors act on Fisher-z verbatim); effect_direction=""negative"" [P-T5-2]; seed 20260710; sequential chains, 3.x defaults incl. autofit=TRUE; one-effect-per-cluster aggregates: metafor aggregate.escalc, struct=""CS"", rho=0.6 (T1/A5 convention [DEC-031g/F65]); COE-informed effect prior Normal(-0.041, 0.021173); sigma = 0.083/3.92 = 0.0212 [DEC-031b provenance arithmetic]; COE companion = only admissible external prior source; estimation set 2713/115/114 [DEC-042a]; k = 114 aggregates; model-averaged tau on the Fisher-z scale; no tanh (scale parameter)"
H2a,coe_informed,full,bf01_effect,BF01,RoBMA_3.6.1,0.6,2713,115,114,,,,,,,,,,,,,,,,,,,,,,,2.384646188597753,FALSE,,"RoBMA 3.6.1 [DEC-046]; y/se input, transformation=""none"", prior_scale=""none"" (priors act on Fisher-z verbatim); effect_direction=""negative"" [P-T5-2]; seed 20260710; sequential chains, 3.x defaults incl. autofit=TRUE; one-effect-per-cluster aggregates: metafor aggregate.escalc, struct=""CS"", rho=0.6 (T1/A5 convention [DEC-031g/F65]); COE-informed effect prior Normal(-0.041, 0.021173); sigma = 0.083/3.92 = 0.0212 [DEC-031b provenance arithmetic]; COE companion = only admissible external prior source; estimation set 2713/115/114 [DEC-042a]; k = 114 aggregates; inclusion BF10 (effect) = 0.419349; BF01 = 1/BF10 quantifies evidence FOR the null of the effect component; raw value, band labelling downstream [DEC-044]"
H2a,coe_informed,full,bf01_heterogeneity,BF01,RoBMA_3.6.1,0.6,2713,115,114,,,,,,,,,,,,,,,,,,,,,,,0,FALSE,,"RoBMA 3.6.1 [DEC-046]; y/se input, transformation=""none"", prior_scale=""none"" (priors act on Fisher-z verbatim); effect_direction=""negative"" [P-T5-2]; seed 20260710; sequential chains, 3.x defaults incl. autofit=TRUE; one-effect-per-cluster aggregates: metafor aggregate.escalc, struct=""CS"", rho=0.6 (T1/A5 convention [DEC-031g/F65]); COE-informed effect prior Normal(-0.041, 0.021173); sigma = 0.083/3.92 = 0.0212 [DEC-031b provenance arithmetic]; COE companion = only admissible external prior source; estimation set 2713/115/114 [DEC-042a]; k = 114 aggregates; inclusion BF10 (heterogeneity) = Inf; BF01 = 1/BF10; SATURATED: posterior inclusion probability at the floating-point boundary — BF beyond double-precision resolution, raw pair Inf/0 preserved [#18]"
H2a,coe_informed,full,bf01_bias,BF01,RoBMA_3.6.1,0.6,2713,115,114,,,,,,,,,,,,,,,,,,,,,,,0.09022636323155289,FALSE,,"RoBMA 3.6.1 [DEC-046]; y/se input, transformation=""none"", prior_scale=""none"" (priors act on Fisher-z verbatim); effect_direction=""negative"" [P-T5-2]; seed 20260710; sequential chains, 3.x defaults incl. autofit=TRUE; one-effect-per-cluster aggregates: metafor aggregate.escalc, struct=""CS"", rho=0.6 (T1/A5 convention [DEC-031g/F65]); COE-informed effect prior Normal(-0.041, 0.021173); sigma = 0.083/3.92 = 0.0212 [DEC-031b provenance arithmetic]; COE companion = only admissible external prior source; estimation set 2713/115/114 [DEC-042a]; k = 114 aggregates; inclusion BF10 (publication bias) = 11.0832; BF01 = 1/BF10"
