analysis_id,spec,subset,term,metric,estimator,rho,k_es,k_study,k_cluster,est_z,se_z,t_stat,df,p,ci_lb_z,ci_ub_z,pi_lb_z,pi_ub_z,est_r,ci_lb_r,ci_ub_r,pi_lb_r,pi_ub_r,sigma2_cluster,sigma2_study,sigma2_esid,pct_cluster,pct_study,pct_esid,pct_sampling,typical_v,value,ms_input,ms_label,note
H1,own_x0.5,defined,power_delta_0.00,count,3LMA-RVE_CR2,0.6,2705,,112,,,,11.576259399726865,,,,,,,,,,,,,,,,,,,0.032,FALSE,,"H1 scenario own_x0.5: fixed VC (cluster/study/esid) = 0.00987277/5.10461e-10/0.00594159 (= T1/A2 components x 0.5); design X = [1, pp_mid] on 2,705/112; CR2/Satterthwaite two-sided alpha=.05, df precomputed y-free; delta enters as noncentral shift of one B=5000 stream [DEC-045/H-Q14/R1]"
H1,own_x0.5,defined,power_delta_0.01,count,3LMA-RVE_CR2,0.6,2705,,112,,,,11.576259399726865,,,,,,,,,,,,,,,,,,,0.052,FALSE,,"H1 scenario own_x0.5: fixed VC (cluster/study/esid) = 0.00987277/5.10461e-10/0.00594159 (= T1/A2 components x 0.5); design X = [1, pp_mid] on 2,705/112; CR2/Satterthwaite two-sided alpha=.05, df precomputed y-free; delta enters as noncentral shift of one B=5000 stream [DEC-045/H-Q14/R1]"
H1,own_x0.5,defined,power_delta_0.02,count,3LMA-RVE_CR2,0.6,2705,,112,,,,11.576259399726865,,,,,,,,,,,,,,,,,,,0.1142,FALSE,,"H1 scenario own_x0.5: fixed VC (cluster/study/esid) = 0.00987277/5.10461e-10/0.00594159 (= T1/A2 components x 0.5); design X = [1, pp_mid] on 2,705/112; CR2/Satterthwaite two-sided alpha=.05, df precomputed y-free; delta enters as noncentral shift of one B=5000 stream [DEC-045/H-Q14/R1]"
H1,own_x0.5,defined,power_delta_0.03,count,3LMA-RVE_CR2,0.6,2705,,112,,,,11.576259399726865,,,,,,,,,,,,,,,,,,,0.238,FALSE,,"H1 scenario own_x0.5: fixed VC (cluster/study/esid) = 0.00987277/5.10461e-10/0.00594159 (= T1/A2 components x 0.5); design X = [1, pp_mid] on 2,705/112; CR2/Satterthwaite two-sided alpha=.05, df precomputed y-free; delta enters as noncentral shift of one B=5000 stream [DEC-045/H-Q14/R1]"
H1,own_x0.5,defined,power_delta_0.04,count,3LMA-RVE_CR2,0.6,2705,,112,,,,11.576259399726865,,,,,,,,,,,,,,,,,,,0.4132,FALSE,,"H1 scenario own_x0.5: fixed VC (cluster/study/esid) = 0.00987277/5.10461e-10/0.00594159 (= T1/A2 components x 0.5); design X = [1, pp_mid] on 2,705/112; CR2/Satterthwaite two-sided alpha=.05, df precomputed y-free; delta enters as noncentral shift of one B=5000 stream [DEC-045/H-Q14/R1]"
H1,own_x0.5,defined,power_delta_0.05,count,3LMA-RVE_CR2,0.6,2705,,112,,,,11.576259399726865,,,,,,,,,,,,,,,,,,,0.6004,FALSE,,"H1 scenario own_x0.5: fixed VC (cluster/study/esid) = 0.00987277/5.10461e-10/0.00594159 (= T1/A2 components x 0.5); design X = [1, pp_mid] on 2,705/112; CR2/Satterthwaite two-sided alpha=.05, df precomputed y-free; delta enters as noncentral shift of one B=5000 stream [DEC-045/H-Q14/R1]"
H1,own_x0.5,defined,power_delta_0.06,count,3LMA-RVE_CR2,0.6,2705,,112,,,,11.576259399726865,,,,,,,,,,,,,,,,,,,0.7684,FALSE,,"H1 scenario own_x0.5: fixed VC (cluster/study/esid) = 0.00987277/5.10461e-10/0.00594159 (= T1/A2 components x 0.5); design X = [1, pp_mid] on 2,705/112; CR2/Satterthwaite two-sided alpha=.05, df precomputed y-free; delta enters as noncentral shift of one B=5000 stream [DEC-045/H-Q14/R1]"
H1,own_x0.5,defined,power_delta_0.07,count,3LMA-RVE_CR2,0.6,2705,,112,,,,11.576259399726865,,,,,,,,,,,,,,,,,,,0.8868,FALSE,,"H1 scenario own_x0.5: fixed VC (cluster/study/esid) = 0.00987277/5.10461e-10/0.00594159 (= T1/A2 components x 0.5); design X = [1, pp_mid] on 2,705/112; CR2/Satterthwaite two-sided alpha=.05, df precomputed y-free; delta enters as noncentral shift of one B=5000 stream [DEC-045/H-Q14/R1]"
H1,own_x0.5,defined,power_delta_0.08,count,3LMA-RVE_CR2,0.6,2705,,112,,,,11.576259399726865,,,,,,,,,,,,,,,,,,,0.9526,FALSE,,"H1 scenario own_x0.5: fixed VC (cluster/study/esid) = 0.00987277/5.10461e-10/0.00594159 (= T1/A2 components x 0.5); design X = [1, pp_mid] on 2,705/112; CR2/Satterthwaite two-sided alpha=.05, df precomputed y-free; delta enters as noncentral shift of one B=5000 stream [DEC-045/H-Q14/R1]"
H1,own_x0.5,defined,mde_power80,Fisher_z,3LMA-RVE_CR2,0.6,2705,,112,,,,11.576259399726865,,,,,,,,,,,,,,,,,,,0.06266891891891892,FALSE,,"H1 scenario own_x0.5: fixed VC (cluster/study/esid) = 0.00987277/5.10461e-10/0.00594159 (= T1/A2 components x 0.5); design X = [1, pp_mid] on 2,705/112; CR2/Satterthwaite two-sided alpha=.05, df precomputed y-free; delta enters as noncentral shift of one B=5000 stream [DEC-045/H-Q14/R1]; MDE = smallest delta with power >= .80, linear interpolation on the 9-point grid; NA = above grid ceiling 0.08"
H1,own_x0.5,defined,mde_power90,Fisher_z,3LMA-RVE_CR2,0.6,2705,,112,,,,11.576259399726865,,,,,,,,,,,,,,,,,,,0.07200607902735563,FALSE,,"H1 scenario own_x0.5: fixed VC (cluster/study/esid) = 0.00987277/5.10461e-10/0.00594159 (= T1/A2 components x 0.5); design X = [1, pp_mid] on 2,705/112; CR2/Satterthwaite two-sided alpha=.05, df precomputed y-free; delta enters as noncentral shift of one B=5000 stream [DEC-045/H-Q14/R1]; co-reported 90% criterion"
H1,own_x1.0,defined,power_delta_0.00,count,3LMA-RVE_CR2,0.6,2705,,112,,,,11.81936075709822,,,,,,,,,,,,,,,,,,,0.0344,FALSE,,"H1 scenario own_x1.0: fixed VC (cluster/study/esid) = 0.0197455/1.02092e-09/0.0118832 (= T1/A2 components x 1.0); design X = [1, pp_mid] on 2,705/112; CR2/Satterthwaite two-sided alpha=.05, df precomputed y-free; delta enters as noncentral shift of one B=5000 stream [DEC-045/H-Q14/R1]"
H1,own_x1.0,defined,power_delta_0.01,count,3LMA-RVE_CR2,0.6,2705,,112,,,,11.81936075709822,,,,,,,,,,,,,,,,,,,0.0502,FALSE,,"H1 scenario own_x1.0: fixed VC (cluster/study/esid) = 0.0197455/1.02092e-09/0.0118832 (= T1/A2 components x 1.0); design X = [1, pp_mid] on 2,705/112; CR2/Satterthwaite two-sided alpha=.05, df precomputed y-free; delta enters as noncentral shift of one B=5000 stream [DEC-045/H-Q14/R1]"
H1,own_x1.0,defined,power_delta_0.02,count,3LMA-RVE_CR2,0.6,2705,,112,,,,11.81936075709822,,,,,,,,,,,,,,,,,,,0.085,FALSE,,"H1 scenario own_x1.0: fixed VC (cluster/study/esid) = 0.0197455/1.02092e-09/0.0118832 (= T1/A2 components x 1.0); design X = [1, pp_mid] on 2,705/112; CR2/Satterthwaite two-sided alpha=.05, df precomputed y-free; delta enters as noncentral shift of one B=5000 stream [DEC-045/H-Q14/R1]"
H1,own_x1.0,defined,power_delta_0.03,count,3LMA-RVE_CR2,0.6,2705,,112,,,,11.81936075709822,,,,,,,,,,,,,,,,,,,0.1478,FALSE,,"H1 scenario own_x1.0: fixed VC (cluster/study/esid) = 0.0197455/1.02092e-09/0.0118832 (= T1/A2 components x 1.0); design X = [1, pp_mid] on 2,705/112; CR2/Satterthwaite two-sided alpha=.05, df precomputed y-free; delta enters as noncentral shift of one B=5000 stream [DEC-045/H-Q14/R1]"
