spec,source_run,k_es,k_study,k_cluster,est_z,ci_lb_z,ci_ub_z,est_r,ci_lb_r,ci_ub_r,delta_vs_headline_z,flag_sign_retained,flag_ci_excl_0,flag_inside_sesoi,reported_in,status,note
headline,T1,2713,115,114,-0.058646736610098,-0.0861025946387978,-0.0311908785813981,-0.0585795916799434,-0.085890445375146,-0.0311807676166034,0.0,TRUE,TRUE,TRUE,"main text, Block A core (T1 workbook A1)",reference,T1-A1 anchor for all delta columns [DEC-050 §10]
one_effect_per_cluster,T1,114,,114,-0.0616608386540629,-0.109864264918875,-0.0134574123892513,-0.0615828112684708,-0.109424362375925,-0.0134566000602298,-0.003014102043964899,TRUE,TRUE,TRUE,Block A text (T1 workbook A5),populated,Gate-A canary spec [DEC-048; F65]
uwls3,T1,2713,115,114,-0.0306674217948093,-0.0869462575307462,0.0254176733610751,-0.0306578112679655,-0.0867278235464365,0.0254122010105056,0.0279793148152887,TRUE,FALSE,TRUE,Block A text (T1 workbook A5),populated,UWLS+3; CI covers zero — disclosed in Block A
rho_0.4,T1,2713,115,114,-0.0593316615643332,-0.0868195061927818,-0.0318438169358846,-0.0592621387749256,-0.0866020242137382,-0.0318330577853786,-0.0006849249542352012,TRUE,TRUE,TRUE,Block A text (T1 workbook A4),populated,"CS working-correlation sensitivity, rho = 0.4"
rho_0.8,T1,2713,115,114,-0.0580360251444842,-0.0854302249562284,-0.03064182533274,-0.0579709542141184,-0.0852229974324647,-0.0306322388439846,0.0006107114656137974,TRUE,TRUE,TRUE,Block A text (T1 workbook A4),populated,"CS working-correlation sensitivity, rho = 0.8"
no_starbound,TG,2614,112,111,-0.0579816151336022,-0.0867649129672002,-0.0291983173000043,-0.0579167268842443,-0.0865478401763457,-0.0291900225339678,0.0006651214764957988,TRUE,TRUE,TRUE,Block G text TB-66; TG workbook 6_Spine_Variants,populated,drop 99 star-bound ES / 11 studies [DEC-050 §5]
no_nobs_proxyfill,TG,2417,109,109,-0.0381676201344568,-0.0475707939487125,-0.0287644463202012,-0.0381490971484755,-0.0475349424754777,-0.0287565157741174,0.0204791164756412,TRUE,TRUE,TRUE,Block G text TB-66; TG workbook 6_Spine_Variants,populated,drop 296 rows; 297 on the usable basis incl. 134 FLAG-based; one tagged duplicate exits at the estimation filter [DEC-050a]
n_firms_variance,TG,2713,115,114,-0.0513619041756673,-0.0711016927457283,-0.0316221156056063,-0.0513167867754985,-0.0709821175082076,-0.0316115795552785,0.007284832434430698,TRUE,TRUE,TRUE,Block G text TB-66; TG workbook 6_Spine_Variants,populated,vi rebuilt on n_firms; adjustment-integer share 1.00; 0 rows dropped [r02f2]
direct_r_only,TG,104,52,52,-0.0377767354308514,-0.0861965889888257,0.010643118127123,-0.0377587755197785,-0.0859837455594983,0.010642716275511,0.020870001179246596,TRUE,FALSE,TRUE,Block G text TB-66; TG workbook 6_Spine_Variants,populated,near-identical to the G9 bivariate cell (delta = 2 ES / 1 study) [DEC-050 §6]
pcc_df_k10,TG,2713,115,114,-0.058528012690399,-0.0860545092965546,-0.0310015160842434,-0.0584612743471975,-0.0858427145694852,-0.0309915881105508,0.00011872391969899865,TRUE,TRUE,TRUE,Block G text TB-66; TG workbook 6_Spine_Variants,populated,PCC df convention k = 10 [van Aert 2023]
pcc_df_k20,TG,2712,115,114,-0.0580057174134896,-0.0856196160328687,-0.0303918187941105,-0.0579407482831787,-0.0854110099325662,-0.0303824649873754,0.0006410191966083958,TRUE,TRUE,TRUE,Block G text TB-66; TG workbook 6_Spine_Variants,populated,PCC df convention k = 20; excludes the single n = 18 row [ERROR #14]
one_per_cluster_median,TG,,,,-0.06199137628065,-0.0938432932462963,-0.0301394593150036,-0.0619120886354912,-0.0935687812292509,-0.0301303365320417,-0.0033446396705519993,TRUE,TRUE,TRUE,Block G text TB-66; TG workbook 6_Spine_Variants,populated,"off-spine cluster-median aggregation, rma.uni(REML, knha); companion to T1-A5 (114 cluster aggregates)"
panel_q_vhb,TG,,,,,,,,,,,,,,TG workbook 7_Panel_qVHB; TB-67,panel — see workbook tab,3 level cells incl. 99_NCE (D31.4); HTZ + pairwise in tab
panel_field,TG,,,,,,,,,,,,,,TG workbook 8_Panel_Field; TB-67,panel — see workbook tab,3 field cells; HTZ + pairwise in tab
panel_es_measure,TG,,,,,,,,,,,,,,TG workbook 9_Panel_ES_Measure; TB-67,panel — see workbook tab,FEATURED axis [van Aert 2023]; HTZ + pairwise in tab
panel_es_method,TG,,,,,,,,,,,,,,TG workbook 10_Panel_ES_Method; TB-67,panel — see workbook tab,main-effect-only per Annex C; HTZ + pairwise in tab
F1_rstudent_identification,,,,,,,,,,,,,,,pending,pending (F session),placeholder per Status battery partition; spec string finalized at F append
F2_drop_and_refit,,,,,,,,,,,,,,,pending,pending (F session),placeholder per Status battery partition; spec string finalized at F append
F3_winsor_unwinsor,,,,,,,,,,,,,,,pending,pending (F session),placeholder per Status battery partition; spec string finalized at F append
F4_cluster_loo,,,,,,,,,,,,,,,pending,pending (F session),placeholder per Status battery partition; spec string finalized at F append
F5_influence_diagnostics,,,,,,,,,,,,,,,pending,pending (F session),placeholder per Status battery partition; spec string finalized at F append
F6_outlier_mad,,,,,,,,,,,,,,,pending,pending (F session),placeholder per Status battery partition; spec string finalized at F append
F7_trim_1_99,,,,,,,,,,,,,,,pending,pending (F session),placeholder per Status battery partition; spec string finalized at F append
